"","hh_ID","week_number","calories_total","member_1_ID","hh_members","avg_calories_pp","pct_fish","pct_meat","pct_protein","num_submissions"
"1",101002,10,352,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,58.6666666666667,0,0,0,1
"2",101002,11,389,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,64.8333333333333,0,0,0,1
"3",101002,12,1160,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,193.333333333333,0,1,1,1
"4",101002,14,260,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,43.3333333333333,0,0,0,1
"5",101002,34,3.8,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,0.633333333333333,0,0,0,1
"6",101002,35,191.443806,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,31.907301,1,0,1,1
"7",101002,36,305.329889,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,50.8883148333333,0.5,0,0.5,2
"8",101002,38,950,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,158.333333333333,0,0,0,1
"9",101002,39,496,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,82.6666666666667,0,0,0,1
"10",101002,40,127.629204,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,21.271534,1,0,1,1
"11",101002,41,32,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,5.33333333333333,0,0,0,1
"12",101002,42,298,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,49.6666666666667,0,1,1,1
"13",101002,43,64,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,10.6666666666667,0,0,0,1
"14",101002,44,1490,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,248.333333333333,0,1,1,1
"15",101002,45,260,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,43.3333333333333,0,0,0,1
"16",101002,46,389.26,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,64.8766666666667,0,0.333333333333333,0.333333333333333,3
"17",101002,48,2.32,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,0.386666666666667,0,1,1,1
"18",101002,49,110.659778,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,18.4432963333333,1,0,1,1
"19",101002,5,2240,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,373.333333333333,0,0,0,1
"20",101002,50,580,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,96.6666666666667,0,1,1,1
"21",101002,6,4.647710676,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,0.774618446,1,0,1,1
"22",101002,7,97.99246,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,16.3320766666667,1,0,1,1
"23",101002,8,1160,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,193.333333333333,0,1,1,1
"24",101002,9,1490,"uuid:c6d8ad3b-d274-483d-ad42-a714964247b9",6,248.333333333333,0,1,1,1
"25",101012,40,1.4799246,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,0.7399623,0.5,0,0.5,2
"26",101012,41,3512.985556,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,1756.492778,0.333333333333333,0,0.333333333333333,3
"27",101012,42,745,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,372.5,0,1,1,1
"28",101012,43,1635.96,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,817.98,0,0.25,0.25,4
"29",101012,45,250,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,125,0,0,0,1
"30",101012,49,997.5,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,498.75,0,0,0,3
"31",101012,50,685,"uuid:bd1c587f-0d0c-4094-b5ef-94e803f059e5",2,342.5,0,0,0,2
"32",102015,10,2697.3214284,"uuid:705dd811-3686-4bf8-bbf1-8289e223a3d3",3,899.1071428,0,0.333333333333333,0.333333333333333,3
"33",102015,11,1435.1,"uuid:705dd811-3686-4bf8-bbf1-8289e223a3d3",3,478.366666666667,0,0,0,3
"34",102015,12,1920.129889,"uuid:705dd811-3686-4bf8-bbf1-8289e223a3d3",3,640.043296333333,0.25,0,0.25,4
"35",102015,13,2579.3522,"uuid:705dd811-3686-4bf8-bbf1-8289e223a3d3",3,859.784066666667,0.5,0,0.5,2
"36",102015,9,500,"uuid:705dd811-3686-4bf8-bbf1-8289e223a3d3",3,166.666666666667,0,0,0,1
"37",102022,10,380,"uuid:b3a4126f-c12a-4c96-be90-d0dd031f157f",3,126.666666666667,0,0,0,1
"38",102022,11,1065.96676,"uuid:b3a4126f-c12a-4c96-be90-d0dd031f157f",3,355.322253333333,1,0,1,1
"39",102022,8,117.5,"uuid:b3a4126f-c12a-4c96-be90-d0dd031f157f",3,39.1666666666667,0,0,0,1
"40",102022,9,2240,"uuid:b3a4126f-c12a-4c96-be90-d0dd031f157f",3,746.666666666667,0,0,0,1
"41",102023,10,2544.6234,"uuid:22a34057-f74f-4de8-9d86-5c4057c14c6b",3,848.2078,0.25,0,0.25,4
"42",102023,11,4475,"uuid:22a34057-f74f-4de8-9d86-5c4057c14c6b",3,1491.66666666667,0,0.5,0.5,4
"43",102023,12,1793.60532,"uuid:22a34057-f74f-4de8-9d86-5c4057c14c6b",3,597.86844,0.333333333333333,0,0.333333333333333,3
